,complex_FB15k,complex_WN18,complex_FB15k-237,complex_WN18RR,conve_FB15k,conve_WN18,conve_FB15k-237,conve_WN18RR,transe_FB15k,transe_WN18,transe_FB15k-237,transe_WN18RR
alpha=0,0.612,0.03,0.345,0.214,0.155,0.002,0.256,0.073,0.209,0.108,0.112,0.257
alpha=0(head),0.651,0.018,0.369,0.093,0.155,0.002,0.256,0.073,0.304,0.116,0.162,0.168
alpha=0.01,0.613,0.803,0.368,0.814,0.234,0.843,0.275,0.874,0.163,0.722,0.194,0.643
alpha=0.01(head),0.595,0.827,0.347,0.844,0.22,0.864,0.253,0.923,0.187,0.771,0.154,0.63
alpha=0.05,0.612,0.801,0.353,0.801,0.234,0.842,0.282,0.878,0.139,0.725,0.141,0.623
alpha=0.05(head),0.596,0.824,0.34,0.825,0.23,0.859,0.265,0.911,0.151,0.783,0.096,0.604
alpha=0.1,0.596,0.806,0.363,0.806,0.229,0.846,0.307,0.887,0.126,0.751,0.169,0.603
alpha=0.1(head),0.613,0.828,0.343,0.836,0.221,0.875,0.273,0.916,0.139,0.753,0.15,0.601
